num0,num1,num2,num3,num4
4,22,40,23,32
6,5,10,2,26
10,19,20,28,4
15,5,17,49,31
40,36,32,8,31
48,29,34,5,47
35,32,14,37,26
19,18,44,37,16
30,13,28,22,19
21,16,6,42,2
33,46,24,21,22
17,36,16,26,38
31,38,11,19,40
45,49,43,33,4
34,35,16,39,15
3,16,27,29,37
22,48,7,20,35
25,42,17,39,22
17,40,41,26,3
13,5,16,32,2
10,9,44,14,46
12,14,11,6,36
41,43,27,24,28
5,44,7,2,45
29,30,23,6,26
11,13,38,4,44
9,33,31,3,40
41,45,20,10,38
9,21,44,6,11
47,7,25,2,12
7,18,12,45,3
34,48,41,46,36
37,48,1,26,24
41,6,14,16,26
29,11,19,16,2
3,22,47,14,8
1,46,21,6,31
16,42,21,6,34
26,1,49,7,14
11,35,16,29,41
21,36,44,26,14
1,46,20,40,35
18,29,36,17,23
29,41,3,43,35
32,28,29,26,38
8,31,48,39,22
47,30,41,32,39
2,19,34,47,23
18,19,3,48,9
5,26,28,46,35
18,28,15,2,43
46,43,7,22,8
13,42,8,16,23
44,46,29,42,45
4,23,26,19,27
33,32,31,41,43
30,15,40,13,20
41,37,20,18,45
12,3,4,34,25
29,18,37,7,47
6,5,11,13,22
46,38,29,31,19
26,34,38,13,42
43,48,7,42,30
36,24,45,49,47
12,26,19,47,10
44,36,49,25,48
45,21,2,31,23
3,4,34,41,42
21,44,42,12,34
35,10,28,43,15
12,21,35,24,40
16,31,25,27,26
33,1,9,6,46
49,30,19,17,7
1,26,2,36,3
44,12,7,25,31
18,27,39,44,24
45,29,36,42,24
30,9,22,46,23
34,7,44,19,8
3,29,46,5,1
2,27,33,21,15
32,1,13,29,46
29,25,2,39,20
45,21,46,48,11
30,28,47,34,7
36,35,2,25,27
46,15,6,39,3
26,38,47,13,16
12,10,25,22,47
8,24,31,17,16
17,22,9,14,48
22,23,8,41,24
16,20,19,35,49
4,27,10,36,5
38,4,45,13,43
18,33,10,20,39
34,2,8,5,33
28,36,5,21,8
7,17,22,46,44
45,6,8,49,33
23,32,48,47,25
39,2,16,19,25
27,35,26,44,22
6,38,7,13,40
19,3,1,14,13
20,12,36,21,4
41,48,22,26,7
41,26,23,12,48
22,1,40,38,49
36,38,31,6,16
42,28,30,1,27
31,44,29,19,15
24,29,4,11,14
35,33,42,20,14
15,7,42,8,24
47,36,43,48,26
49,29,2,30,36
9,36,25,45,44
39,19,13,18,22
26,15,22,2,17
12,15,36,41,13
47,29,24,38,26
33,25,36,39,40
31,49,34,2,4
34,29,4,26,25
42,49,39,14,16
21,19,28,24,44
36,7,48,11,8
29,34,18,22,19
43,20,46,35,23
26,2,28,4,15
14,3,20,17,1
14,19,17,8,5
3,34,42,37,10
49,13,4,36,18
43,18,11,7,9
19,39,27,14,36
27,17,9,25,46
40,22,20,19,41
11,6,49,41,12
34,5,14,49,23
40,48,44,20,34
13,3,1,24,45
11,47,13,10,28
20,18,44,1,49
23,2,5,48,26
9,33,34,41,20
29,17,40,34,2
37,21,38,4,10
38,30,27,41,10
44,46,1,27,48
30,1,28,39,11
44,25,2,41,28
5,44,24,28,25
18,36,13,40,48
1,3,31,11,49
31,44,48,37,32
12,4,38,10,41
42,3,15,41,33
34,21,9,42,31
2,5,3,10,1
17,45,26,27,13
30,11,35,33,3
41,29,19,43,14
22,39,4,49,45
49,22,14,5,2
34,43,23,15,40
19,44,37,46,10
16,2,34,25,1
10,12,7,20,45
15,21,20,38,43
13,17,28,46,42
11,19,33,41,7
4,25,42,39,38
46,41,24,35,22
31,49,7,20,11
13,40,2,34,15
6,34,12,49,10
22,28,42,37,14
9,26,47,20,27
39,9,3,45,10
27,19,5,35,40
30,19,37,12,46
24,18,22,41,7
47,12,14,37,20
43,24,12,18,16
25,23,5,1,47
28,47,40,12,42
34,29,47,10,37
17,1,6,13,15
25,32,8,37,39
7,32,4,23,28
32,11,8,21,15
21,32,8,48,7
33,36,48,43,34
49,2,17,30,5
17,19,23,4,49
7,12,39,29,11
25,35,22,26,31
36,33,31,48,47
22,33,14,46,9
38,20,33,6,35
1,16,49,3,4
41,23,15,30,45
29,27,2,14,28
27,28,13,31,42
27,18,8,37,20
16,18,15,35,26
23,39,37,36,49
14,13,4,24,21
35,49,18,20,31
42,47,28,27,12
2,25,43,16,33
7,34,42,11,17
3,43,48,37,49
41,1,30,38,31
3,19,10,44,41
5,19,21,32,29
24,45,14,25,42
29,6,9,17,28
12,41,38,1,31
43,40,2,38,23
44,26,41,15,37
6,5,17,42,30
19,4,20,29,49
21,6,45,34,38
29,9,26,36,42
49,13,6,25,47
15,43,1,24,8
37,44,14,12,28
12,8,11,35,33
34,10,22,36,9
48,10,49,1,39
9,31,24,34,23
22,2,3,42,36
14,28,37,41,6
43,7,5,10,13
36,30,33,31,24
31,17,2,24,29
45,41,37,35,18
46,2,30,43,14
22,39,31,37,29
14,26,4,23,36
5,39,32,42,20
17,12,36,35,43
4,49,38,29,40
49,5,19,18,38
14,16,2,12,42
47,14,42,40,29
29,49,38,25,41
35,43,37,24,38
32,8,3,13,37
44,30,26,48,41
35,19,37,22,16
16,11,29,15,46
12,46,40,8,19
41,3,8,9,44
4,24,29,47,30
12,18,30,25,47
3,38,4,49,12
43,6,30,47,45
22,32,42,8,29
44,35,49,15,29
45,41,12,26,19
12,10,22,37,41
38,41,39,2,10
39,8,22,46,23
45,22,37,15,6
49,1,34,28,31
4,46,8,29,40
35,32,29,7,34
14,30,48,8,49
46,33,30,19,3
42,20,2,35,49
15,28,43,41,5
30,20,29,10,27
10,43,21,25,45
10,37,28,15,2
44,1,49,38,20
43,6,10,30,39
41,9,43,48,36
45,41,5,17,33
15,36,38,30,2
31,16,33,17,1
33,15,23,28,39
13,21,25,20,41
4,20,13,10,32
20,19,40,39,27
43,10,20,9,17
48,49,3,1,20
28,47,41,22,21
26,15,10,4,30
35,11,49,7,48
30,39,3,14,8
49,2,35,1,36
35,31,26,34,28
48,9,18,43,3
32,16,8,23,34
17,11,27,48,23
14,46,5,30,36
44,47,20,30,29
40,3,22,4,28
3,45,47,13,27
44,21,29,9,25
36,14,9,1,20
27,41,38,26,2
13,40,24,17,45
40,49,34,27,4
21,29,7,37,19
49,9,28,24,35
17,16,14,1,11
14,31,46,25,4
41,12,33,9,16
18,17,27,35,40
36,44,21,13,5
19,6,34,49,42
25,4,18,7,35
43,19,30,39,40
23,18,7,2,21
20,15,27,13,34
18,5,33,2,23
20,29,21,33,7
37,8,49,31,45
31,32,12,28,48
46,43,41,37,34
30,26,44,27,49
20,48,34,39,4
31,36,4,22,18
34,35,23,16,6
19,10,26,21,22
32,46,6,8,13
23,47,41,42,15
43,13,10,20,38
27,11,16,3,8
10,14,43,32,47
43,37,20,10,18
49,26,28,31,11
43,49,40,48,44
18,44,2,47,49
5,34,47,12,20
18,47,49,32,17
22,1,44,9,26
41,18,13,14,29
23,47,16,48,35
28,16,39,23,3
27,13,19,40,23
24,23,30,6,18
40,14,46,27,7
27,24,37,46,1
34,45,18,44,24
48,29,2,36,9
32,18,17,6,29
13,32,12,28,33
14,39,24,49,47
10,19,47,35,33
30,40,13,21,26
1,43,24,15,27
28,9,37,41,46
29,15,1,12,30
24,19,10,28,15
13,4,21,43,23
20,22,46,40,9
14,45,29,12,41
17,42,44,27,16
41,28,17,4,33
26,29,9,35,38
16,49,10,38,25
44,31,26,1,13
34,31,25,46,22
23,18,10,6,3
16,44,2,10,35
7,28,27,23,33
6,16,31,26,40
1,40,17,43,42
42,14,15,13,3
10,38,20,4,13
42,22,47,16,38
25,40,30,36,6
4,44,32,22,14
26,9,45,31,43
7,17,29,26,21
22,33,31,41,15
24,45,19,1,46
22,40,23,37,9
3,18,13,43,28
36,32,11,46,25
34,4,5,9,21
13,41,34,21,15
16,28,36,24,43
25,32,4,8,41
25,7,13,9,8
45,14,1,42,43
1,5,43,41,22
1,32,8,15,24
21,3,9,27,10
8,44,29,43,45
42,3,36,28,49
21,41,32,38,37
29,23,22,13,1
8,6,36,4,34
31,41,32,14,13
25,11,7,33,3
36,27,8,39,47
47,27,5,24,46
40,24,22,13,43
5,4,23,30,41
40,38,32,4,31
11,3,30,29,32
47,13,30,9,18
5,37,16,42,3
7,24,18,34,5
22,9,42,15,32
47,34,45,35,10
5,37,45,38,21
43,36,8,22,3
41,35,47,26,22
16,2,28,40,14
9,26,8,48,46
3,8,40,39,32
40,18,39,24,17
49,9,35,23,1
49,41,8,9,40
48,41,37,32,43
6,25,21,5,33
43,33,36,12,2
37,6,15,21,17
6,46,47,11,1
28,16,37,19,2
16,5,41,11,36
32,35,19,23,43
45,32,19,49,36
2,38,43,14,3
3,30,10,29,39
27,9,38,18,20
22,40,21,12,45
26,25,12,49,8
11,7,43,45,14
5,34,42,16,10
28,14,39,12,38
23,42,11,31,13
40,9,22,13,45
6,41,28,16,34
28,6,7,32,2
19,12,28,29,45
40,47,38,11,21
18,41,39,21,37
20,49,14,26,4
27,19,5,26,28
8,33,22,45,19
5,26,30,15,37
42,36,1,20,25
43,16,4,6,30
35,40,6,46,15
12,1,32,42,31
41,40,28,21,36
17,20,15,5,4
19,41,5,22,33
18,8,5,21,38
30,26,48,32,1
44,32,25,47,27
20,32,9,23,1
33,4,12,49,18
7,16,48,15,10
18,11,41,45,17
6,7,39,38,14
